tweet_id,datetime,text,user,likes,retweets,sentiment
btc_00000071,2024-01-01 23:10:05,Bitcoin looking strong at $48 resistance broken!,trading_pro,66,11,positive
btc_00000072,2024-01-01 23:15:19,"BTC DUMP INCOMING, GET OUT WHILE YOU CAN! 🔻",btc_hodler,138,69,negative
btc_00000073,2024-01-01 23:22:38,Study shows: Bitcoin volatility decreasing over time,trading_pro,81,16,neutral
btc_00000074,2024-01-02 00:22:17,"CRYPTO WINTER IS HERE, BITCOIN GOING TO $24 🥶",crypto_trader,129,20,negative
btc_00000075,2024-01-02 00:29:05,Bitcoin transaction fees too high! Unusable! 💸,chart_master,155,50,negative
btc_00000076,2024-01-02 01:41:52,Amazing gains on Bitcoin today! Up 11% 🎉,alt_hunter,374,59,positive
btc_00000077,2024-01-02 01:04:17,Interesting Bitcoin development: ETF approval,sats_stacker,33,7,neutral
btc_00000078,2024-01-02 01:49:17,Analyzing Bitcoin chart patterns today 📈,crypto_trader,29,12,neutral
btc_00000079,2024-01-02 01:19:37,Technical analysis shows Bitcoin crash to $22 📉,nft_collector,51,12,negative
btc_00000080,2024-01-02 02:10:20,BTC technical analysis shows strong uptrend ↗️,on_chain_data,307,73,positive
btc_00000081,2024-01-02 03:25:30,BTC technical analysis shows strong uptrend ↗️,hodl_gang,401,129,positive
btc_00000082,2024-01-02 03:58:46,Best decision ever: buying Bitcoin! 🙌 💯,bear_market,110,95,positive
btc_00000083,2024-01-02 03:29:32,BTC hodlers being rewarded! Diamond hands win 💎,crypto_news,229,45,positive
btc_00000084,2024-01-02 03:19:26,Smart money accumulating Bitcoin quietly 👀,on_chain_data,332,48,positive
btc_00000085,2024-01-02 03:18:35,Bitcoin breaking resistance! Bullish trend incoming 📈 💯,nft_collector,87,46,positive
btc_00000086,2024-01-02 04:00:39,Bitcoin hash ribbons indicating Tesla signal,diamond_hands,83,26,neutral
btc_00000087,2024-01-02 05:43:59,Market manipulation! Bitcoin not organic growth 😡,on_chain_data,2869,490,negative
btc_00000088,2024-01-02 06:07:21,"Bitcoin scam, government will ban it! ⚠️",bull_run,47,49,negative
btc_00000089,2024-01-02 06:00:47,Bitcoin mining centralization = big problem ⚠️,bear_market,149,36,negative
btc_00000090,2024-01-02 06:54:31,Bitcoin trading range: $42034 - $43749,btc_hodler,1881,266,neutral
btc_00000091,2024-01-02 06:11:25,Bitcoin crashing hard! Sell everything! 📉,satoshi_fan,106,9,negative
btc_00000092,2024-01-02 06:09:49,"Crypto winter is here, Bitcoin going to $35 🥶 ⚡",bull_run,63,33,negative
btc_00000093,2024-01-02 06:17:06,"Bitcoin dead, time to move on 💀",defi_degen,242,66,negative
btc_00000094,2024-01-02 07:08:25,Amazing gains on Bitcoin today! Up 8% 🎉 🎯,btc_miner,238,34,positive
btc_00000095,2024-01-02 07:31:51,"Bitcoin = ponzi scheme, wake up people! ⚠️ 💯",bull_run,160,22,negative
btc_00000096,2024-01-02 07:52:24,Lost so much on Bitcoin... never again 😭,crypto_trader,235,69,negative
btc_00000097,2024-01-02 07:43:53,BTC pumping hard! This is just the beginning 🔥 👀,bitcoin_og,317,13,positive
btc_00000098,2024-01-02 07:09:46,Institutional Bitcoin holdings update: Blackrock BTC,alt_hunter,74,4,neutral
btc_00000099,2024-01-02 08:30:45,Best decision ever: buying Bitcoin! 🙌,sats_stacker,394,70,positive
btc_00000100,2024-01-02 08:17:12,Regulatory pressure killing Bitcoin! Be careful! ⚖️ 🎯,crypto_trader,61,19,negative
btc_00000101,2024-01-02 08:14:14,Bitcoin currently trading at $46247 📊 🔥,bitcoin_og,50,13,neutral
btc_00000102,2024-01-02 09:26:15,BTC holding steady at network congestion support level 🔥,bitcoin_og,30,9,neutral
btc_00000103,2024-01-02 09:06:27,"BITCOIN SCAM, GOVERNMENT WILL BAN IT! ⚠️",moon_soon,114,34,negative
btc_00000104,2024-01-02 09:08:21,Bitcoin fear & greed at extreme levels! Crash coming 😰,satoshi_fan,77,5,negative
btc_00000105,2024-01-02 09:37:24,BTC technical analysis shows strong uptrend ↗️,bitcoin_maxie,239,70,positive
btc_00000106,2024-01-02 09:52:12,Lost so much on Bitcoin... never again 😭,diamond_hands,60,94,negative
btc_00000107,2024-01-02 10:34:46,"Bitcoin volume increasing, watching closely 👀",crypto_trader,39,20,neutral
btc_00000108,2024-01-02 10:45:07,Bitcoin correlation with stocks remains high 📊,btc_miner,91,14,neutral
btc_00000109,2024-01-02 10:44:08,Long-term Bitcoin holders not selling 🔒,crypto_news,38,13,neutral
btc_00000110,2024-01-02 10:04:10,Bitcoin stock-to-flow model update: ratio Fidelity,defi_degen,58,16,neutral
btc_00000111,2024-01-02 11:44:00,Bitcoin hashrate at ATH! Network security = bullish 🔒,alt_hunter,88,6,positive
btc_00000112,2024-01-02 11:07:10,Bitcoin > everything else. Change my mind 💪,whale_watcher,145,46,positive
btc_00000113,2024-01-02 11:41:15,Survey: 47% of investors hold Bitcoin,diamond_hands,31,4,neutral
btc_00000114,2024-01-02 11:35:16,BTC pumping hard! This is just the beginning 🔥,fundamental,132,51,positive
btc_00000115,2024-01-02 12:17:11,Institutional Bitcoin holdings update: Kraken BTC 🎯,chart_master,8,20,neutral
btc_00000116,2024-01-02 12:40:40,Bitcoin mining centralization = big problem ⚠️,crypto_skeptic,97,61,negative
btc_00000117,2024-01-02 13:46:27,BTC hodlers being rewarded! Diamond hands win 💎,satoshi_fan,226,67,positive
btc_00000118,2024-01-02 13:11:41,LONG-TERM BITCOIN HOLDERS NOT SELLING 🔒 🎯,crypto_news,28,7,neutral
btc_00000119,2024-01-02 14:29:58,Bitcoin looking strong at $56 resistance broken!,bear_market,239,44,positive
btc_00000120,2024-01-02 14:07:52,Analyzing Bitcoin chart patterns today 📈 🎯,crypto_bull,17,33,neutral
btc_00000121,2024-01-02 15:47:52,"Bitcoin dead, time to move on 💀",bitcoin_og,88,14,negative
btc_00000122,2024-01-02 15:15:03,Bitcoin breaking resistance! Bullish trend incoming 📈,trading_pro,500,92,positive
btc_00000123,2024-01-02 16:00:58,Bitcoin mining centralization = big problem ⚠️ 👀,whale_watcher,195,167,negative
btc_00000124,2024-01-02 16:43:56,BTC hodlers being rewarded! Diamond hands win 💎 💰,technical_ta,474,162,positive
btc_00000125,2024-01-02 16:59:59,BEST PERFORMING ASSET: #BITCOIN 🏆 👀,bitcoin_maxie,490,61,positive
btc_00000126,2024-01-02 17:19:39,Bitcoin correlation with stocks remains high 📊,crypto_news,158,24,neutral
btc_00000127,2024-01-02 18:09:49,Best decision ever: buying Bitcoin! 🙌,bear_market,423,66,positive
btc_00000128,2024-01-02 18:46:17,Institutions buying Bitcoin = moon time 🌙,crypto_trader,474,43,positive
btc_00000129,2024-01-02 18:26:38,Institutions buying Bitcoin = moon time 🌙 🚨,bear_market,458,181,positive
btc_00000130,2024-01-02 18:31:34,Amazing gains on Bitcoin today! Up 15% 🎉,trading_pro,504,239,positive
btc_00000131,2024-01-02 19:35:30,"Bitcoin bubble bursting, warned you all 😱",crypto_trader,1230,270,negative
btc_00000132,2024-01-02 19:35:59,"BTC dump incoming, get out while you can! 🔻",btc_miner,197,82,negative
btc_00000133,2024-01-02 19:03:44,Whales dumping BTC! Retail getting rekt 🐋 💯,sats_stacker,3024,430,negative
btc_00000134,2024-01-02 20:04:00,Best performing asset: #Bitcoin 🏆,hodl_gang,121,87,positive
btc_00000135,2024-01-02 20:30:26,Bitcoin correlation with stocks remains high 📊,fundamental,54,50,neutral
btc_00000136,2024-01-02 20:56:29,"BITCOIN WILL HIT $51K THIS YEAR, MARK MY WORDS! 📈",trading_pro,2376,1620,positive
btc_00000137,2024-01-02 20:08:47,Technical analysis shows Bitcoin crash to $39 📉,diamond_hands,272,96,negative
btc_00000138,2024-01-02 20:29:30,INSTITUTIONAL BITCOIN HOLDINGS UPDATE: FIDELITY BTC,bitcoin_og,189,49,neutral
btc_00000139,2024-01-02 20:04:23,Bitcoin overvalued at current prices! Correction needed ⬇️ 🎯,crypto_skeptic,372,99,negative
btc_00000140,2024-01-02 21:12:40,Consolidation phase for Bitcoin continues ⏸️ ⚡,btc_hodler,26,62,neutral
btc_00000141,2024-01-02 21:00:22,Bitcoin network upgrade scheduled for Grayscale,on_chain_data,1134,477,neutral
btc_00000142,2024-01-02 21:43:06,Bitcoin trading range: $45396 - $47249,bitcoin_og,111,46,neutral
btc_00000143,2024-01-02 22:02:18,Bitcoin > everything else. Change my mind 💪 ⚡,moon_soon,903,211,positive
btc_00000144,2024-01-02 22:49:45,Lost 7% on Bitcoin this week... brutal 💔 💰,moon_soon,341,73,negative
btc_00000145,2024-01-02 22:27:02,Bitcoin hash ribbons indicating network congestion signal,technical_ta,46,21,neutral
btc_00000146,2024-01-02 22:55:51,Bitcoin hashrate at ATH! Network security = bullish 🔒,bitcoin_maxie,2856,2834,positive
btc_00000147,2024-01-02 22:05:04,Analyzing Bitcoin chart patterns today 📈 👀,moon_soon,53,7,neutral
btc_00000148,2024-01-02 23:31:02,Best performing asset: #Bitcoin 🏆,satoshi_fan,319,52,positive
btc_00000149,2024-01-02 23:39:20,Bitcoin hashrate at ATH! Network security = bullish 🔒,satoshi_fan,321,34,positive
btc_00000150,2024-01-02 23:47:50,Smart money accumulating Bitcoin quietly 👀,whale_watcher,465,18,positive
btc_00000151,2024-01-02 23:24:55,Bitcoin mining centralization = big problem ⚠️,defi_degen,86,60,negative
btc_00000152,2024-01-02 23:58:59,"Bitcoin bubble bursting, warned you all 😱",crypto_analyst,150,10,negative
btc_00000153,2024-01-03 00:17:29,Bitcoin overvalued at current prices! Correction needed ⬇️,btc_hodler,275,31,negative
btc_00000154,2024-01-03 00:24:03,Bitcoin correlation with stocks remains high 📊 💯,satoshi_fan,26,10,neutral
btc_00000155,2024-01-03 00:05:09,LONG-TERM BITCOIN HOLDERS NOT SELLING 🔒 🎯,bitcoin_maxie,66,10,neutral
btc_00000156,2024-01-03 00:11:53,Bitcoin overvalued at current prices! Correction needed ⬇️,btc_hodler,158,46,negative
btc_00000157,2024-01-03 01:44:27,Bitcoin mining difficulty adjusted 49%,satoshi_fan,68,18,neutral
btc_00000158,2024-01-03 02:46:47,DCA into Bitcoin = winning strategy 📊,fundamental,64,34,positive
btc_00000159,2024-01-03 02:26:16,"Bitcoin = ponzi scheme, wake up people! ⚠️",alt_hunter,165,26,negative
btc_00000160,2024-01-03 02:02:13,Bitcoin crashing hard! Sell everything! 📉,fundamental,89,58,negative
btc_00000161,2024-01-03 02:12:43,Smart money accumulating Bitcoin quietly 👀,hodl_gang,232,69,positive
btc_00000162,2024-01-03 03:29:26,BTC technical analysis shows strong uptrend ↗️,btc_miner,488,40,positive
btc_00000163,2024-01-03 04:23:11,Bitcoin mining centralization = big problem ⚠️,trading_pro,230,21,negative
btc_00000164,2024-01-03 04:39:59,Interesting Bitcoin development: ETF approval,sats_stacker,79,18,neutral
btc_00000165,2024-01-03 04:59:34,"Crypto winter is here, Bitcoin going to $25 🥶",sats_stacker,203,15,negative
btc_00000166,2024-01-03 05:07:12,Bitcoin stock-to-flow model update: ratio Fidelity,nft_collector,38,9,neutral
btc_00000167,2024-01-03 05:14:32,BTC technical analysis shows strong uptrend ↗️,crypto_news,131,56,positive
btc_00000168,2024-01-03 05:02:00,Best decision ever: buying Bitcoin! 🙌,crypto_bull,131,35,positive
btc_00000169,2024-01-03 05:27:15,BTC technical analysis shows strong uptrend ↗️,trading_pro,315,66,positive
btc_00000170,2024-01-03 06:46:11,Bitcoin transaction fees too high! Unusable! 💸,crypto_analyst,288,24,negative
btc_00000171,2024-01-03 06:25:53,REGULATORY PRESSURE KILLING BITCOIN! BE CAREFUL! ⚖️,on_chain_data,54,40,negative
btc_00000172,2024-01-03 06:40:49,Best decision ever: buying Bitcoin! 🙌 👀,hodl_gang,87,18,positive
btc_00000173,2024-01-03 06:08:29,Bitcoin crashing hard! Sell everything! 📉,bear_market,53,59,negative
btc_00000174,2024-01-03 06:51:50,BTC technical analysis shows strong uptrend ↗️,crypto_analyst,162,159,positive
btc_00000175,2024-01-03 07:06:09,"BTC dump incoming, get out while you can! 🔻",crypto_news,67,15,negative
btc_00000176,2024-01-03 07:26:04,Bitcoin looking strong at $52 resistance broken!,nft_collector,88,62,positive
btc_00000177,2024-01-03 07:36:40,"Bitcoin bubble bursting, warned you all 😱",crypto_skeptic,1620,225,negative
btc_00000178,2024-01-03 08:16:59,Institutions buying Bitcoin = moon time 🌙,sats_stacker,183,75,positive
btc_00000179,2024-01-03 09:13:01,Bitcoin crashing hard! Sell everything! 📉,bitcoin_og,119,35,negative
btc_00000180,2024-01-03 09:35:41,Consolidation phase for Bitcoin continues ⏸️ 👀,crypto_news,82,9,neutral
btc_00000181,2024-01-03 10:56:45,Best performing asset: #Bitcoin 🏆,chart_master,91,45,positive
btc_00000182,2024-01-03 10:31:27,Analyzing Bitcoin chart patterns today 📈,defi_degen,51,7,neutral
btc_00000183,2024-01-03 10:23:57,Institutional Bitcoin holdings update: Binance BTC,bear_market,69,11,neutral
btc_00000184,2024-01-03 10:56:41,Lost 10% on Bitcoin this week... brutal 💔,alt_hunter,125,62,negative
btc_00000185,2024-01-03 10:23:23,BITCOIN OVERVALUED AT CURRENT PRICES! CORRECTION NEEDED ⬇️,crypto_trader,83,33,negative
btc_00000186,2024-01-03 11:14:35,Bitcoin currently trading at $43799 📊 👀,bitcoin_maxie,33,14,neutral
btc_00000187,2024-01-03 11:56:51,Study shows: Bitcoin volatility decreasing over time,bull_run,15,13,neutral
btc_00000188,2024-01-03 11:31:02,Bitcoin stock-to-flow model update: ratio ETF approval,chart_master,31,5,neutral
btc_00000189,2024-01-03 12:50:54,BTC pumping hard! This is just the beginning 🔥,hodl_gang,1170,1065,positive
btc_00000190,2024-01-03 12:53:51,"Bitcoin will hit $60k this year, mark my words! 📈 ⚡",btc_miner,4700,84,positive
btc_00000191,2024-01-03 12:44:29,Sold all my BTC before the crash! Dodged bullet 😅,nft_collector,176,63,negative
btc_00000192,2024-01-03 12:55:44,"Crypto winter is here, Bitcoin going to $35 🥶 💯",fundamental,32,3,negative
btc_00000193,2024-01-03 12:59:44,CONSOLIDATION PHASE FOR BITCOIN CONTINUES ⏸️,btc_hodler,64,31,neutral
btc_00000194,2024-01-03 13:37:29,"Crypto winter is here, Bitcoin going to $22 🥶 👀",sats_stacker,221,38,negative
btc_00000195,2024-01-03 13:15:36,"Bitcoin = ponzi scheme, wake up people! ⚠️",nft_collector,233,60,negative
btc_00000196,2024-01-03 13:18:45,Best performing asset: #Bitcoin 🏆,bitcoin_maxie,279,87,positive
btc_00000197,2024-01-03 13:13:00,Bitcoin mining centralization = big problem ⚠️,bull_run,74,7,negative
btc_00000198,2024-01-03 14:48:19,BITCOIN TRADING RANGE: $48296 - $50267,technical_ta,172,52,neutral
btc_00000199,2024-01-03 14:39:32,Bitcoin correlation with stocks remains high 📊 💯,diamond_hands,71,24,neutral
btc_00000200,2024-01-03 14:07:15,BITCOIN OVERVALUED AT CURRENT PRICES! CORRECTION NEEDED ⬇️ 👀,crypto_bull,160,45,negative
btc_00000201,2024-01-03 15:22:27,Technical analysis shows Bitcoin crash to $22 📉,diamond_hands,339,61,negative
btc_00000202,2024-01-03 15:41:24,Bitcoin overvalued at current prices! Correction needed ⬇️,fundamental,101,108,negative
btc_00000203,2024-01-03 15:03:41,"BITCOIN DOMINANCE AT 49%, ALTCOINS STRUGGLING",whale_watcher,175,34,neutral
btc_00000204,2024-01-03 15:56:39,"Bitcoin dead, time to move on 💀",technical_ta,308,26,negative
btc_00000205,2024-01-03 15:13:22,Bitcoin hashrate at ATH! Network security = bullish 🔒 💰,bear_market,939,155,positive
btc_00000206,2024-01-03 16:10:20,BITCOIN TRANSACTION FEES TOO HIGH! UNUSABLE! 💸 💰,bull_run,644,103,negative
btc_00000207,2024-01-03 16:10:43,Bitcoin looking strong at $56 resistance broken!,on_chain_data,1391,1512,positive
btc_00000208,2024-01-03 16:02:52,Just stacked more sats! Bitcoin only 🧡,crypto_bull,118,320,positive
btc_00000209,2024-01-03 16:19:51,Study shows: Bitcoin volatility decreasing over time,fundamental,51,42,neutral
btc_00000210,2024-01-03 17:00:52,Long-term Bitcoin holders not selling 🔒,satoshi_fan,83,45,neutral
btc_00000211,2024-01-03 17:40:01,"Bitcoin = ponzi scheme, wake up people! ⚠️",crypto_trader,490,33,negative
btc_00000212,2024-01-03 17:27:23,Consolidation phase for Bitcoin continues ⏸️ 🚨,diamond_hands,27,18,neutral
btc_00000213,2024-01-03 18:22:56,Bitcoin overvalued at current prices! Correction needed ⬇️,bitcoin_og,435,120,negative
btc_00000214,2024-01-03 19:53:39,Market update: Bitcoin sideways movement continues,sats_stacker,70,6,neutral
btc_00000215,2024-01-03 19:43:09,Bitcoin on-chain metrics showing mixed signals 📊,alt_hunter,774,204,neutral
btc_00000216,2024-01-03 19:18:52,Just stacked more sats! Bitcoin only 🧡 🚨,hodl_gang,2718,472,positive
btc_00000217,2024-01-03 19:56:18,Just bought more $BTC! HODL strong 💎🙌 👀,alt_hunter,601,15,positive
btc_00000218,2024-01-03 20:22:15,Best decision ever: buying Bitcoin! 🙌,bull_run,156,144,positive
btc_00000219,2024-01-03 20:11:36,Bitcoin overvalued at current prices! Correction needed ⬇️,btc_miner,193,91,negative
btc_00000220,2024-01-03 21:19:36,Bitcoin correlation with stocks remains high 📊 💯,bear_market,107,32,neutral
btc_00000221,2024-01-03 21:20:32,Survey: 45% of investors hold Bitcoin,bull_run,106,8,neutral
btc_00000222,2024-01-03 21:01:49,BTC technical analysis shows strong uptrend ↗️,btc_miner,519,225,positive
btc_00000223,2024-01-03 22:34:57,Lost so much on Bitcoin... never again 😭,hodl_gang,309,158,negative
btc_00000224,2024-01-03 22:33:29,Just bought more $BTC! HODL strong 💎🙌,btc_hodler,502,21,positive
btc_00000225,2024-01-03 23:37:43,Technical analysis shows Bitcoin crash to $25 📉 👀,alt_hunter,304,51,negative
btc_00000226,2024-01-03 23:40:54,Just bought more $BTC! HODL strong 💎🙌,crypto_trader,200,80,positive
btc_00000227,2024-01-04 00:04:00,Bitcoin adoption growing massively! Bullish 📊,crypto_trader,432,125,positive
btc_00000228,2024-01-04 00:25:03,Analyzing Bitcoin chart patterns today 📈,sats_stacker,11,8,neutral
btc_00000229,2024-01-04 00:27:09,Bitcoin overvalued at current prices! Correction needed ⬇️ 💯,bear_market,179,67,negative
btc_00000230,2024-01-04 01:18:42,Amazing gains on Bitcoin today! Up 14% 🎉 💰,sats_stacker,261,95,positive
btc_00000231,2024-01-04 02:18:29,Bitcoin network upgrade scheduled for technology upgrade,sats_stacker,73,16,neutral
btc_00000232,2024-01-04 02:22:08,Bitcoin trading range: $43530 - $45307,defi_degen,76,17,neutral
btc_00000233,2024-01-04 02:33:24,"BITCOIN WILL HIT $57K THIS YEAR, MARK MY WORDS! 📈",alt_hunter,317,89,positive
btc_00000234,2024-01-04 02:17:50,"Bitcoin scam, government will ban it! ⚠️",on_chain_data,203,63,negative
btc_00000235,2024-01-04 03:45:59,"Bitcoin volume increasing, watching closely 👀",alt_hunter,53,15,neutral
btc_00000236,2024-01-04 03:04:02,Bitcoin > everything else. Change my mind 💪,crypto_bull,315,90,positive
btc_00000237,2024-01-04 03:51:58,BITCOIN LOOKING STRONG AT $55 RESISTANCE BROKEN!,fundamental,302,94,positive
btc_00000238,2024-01-04 04:54:47,Bitcoin looking strong at $61 resistance broken!,bitcoin_maxie,76,23,positive
btc_00000239,2024-01-04 04:36:35,New Bitcoin ETF filing submitted by Blackrock,diamond_hands,75,12,neutral
btc_00000240,2024-01-04 05:50:12,Best performing asset: #Bitcoin 🏆,bitcoin_maxie,122,40,positive
